Place,Population,Per Capita Income,Poverty Count,Poverty Rate,County,State
"Roosevelt County, Montana",11175,18657,18657,1.67,Roosevelt County,Montana
"Rosebud County, Montana",9152,24922,24922,2.72,Rosebud County,Montana
"Sanders County, Montana",11681,25309,25309,2.17,Sanders County,Montana
"Sheridan County, Montana",3483,36091,36091,10.36,Sheridan County,Montana
"Silver Bow County, Montana",34770,27706,27706,0.8,Silver Bow County,Montana
"Stillwater County, Montana",9466,32301,32301,3.41,Stillwater County,Montana
"Sweet Grass County, Montana",3670,30050,30050,8.19,Sweet Grass County,Montana
"Teton County, Montana",6086,28022,28022,4.6,Teton County,Montana
"Toole County, Montana",4892,27528,27528,5.63,Toole County,Montana
"Treasure County, Montana",668,29763,29763,44.56,Treasure County,Montana
"Valley County, Montana",7471,27946,27946,3.74,Valley County,Montana
"Wheatland County, Montana",2142,21619,21619,10.09,Wheatland County,Montana
"Wibaux County, Montana",1122,25591,25591,22.81,Wibaux County,Montana
"Yellowstone County, Montana",159008,34451,34451,0.22,Yellowstone County,Montana
"Adams County, Nebraska",31587,28729,28729,0.91,Adams County,Nebraska
"Antelope County, Nebraska",6341,26523,26523,4.18,Antelope County,Nebraska
"Arthur County, Nebraska",427,25906,25906,60.67,Arthur County,Nebraska
"Banner County, Nebraska",722,27552,27552,38.16,Banner County,Nebraska
"Blaine County, Nebraska",477,25097,25097,52.61,Blaine County,Nebraska
"Boone County, Nebraska",5279,33027,33027,6.26,Boone County,Nebraska
"Box Butte County, Nebraska",10970,28156,28156,2.57,Box Butte County,Nebraska
"Boyd County, Nebraska",1937,29871,29871,15.42,Boyd County,Nebraska
"Brown County, Nebraska",3015,30674,30674,10.17,Brown County,Nebraska
"Buffalo County, Nebraska",49209,31043,31043,0.63,Buffalo County,Nebraska
"Burt County, Nebraska",6510,31635,31635,4.86,Burt County,Nebraska
"Butler County, Nebraska",8029,30095,30095,3.75,Butler County,Nebraska
"Cass County, Nebraska",25888,33851,33851,1.31,Cass County,Nebraska
"Cedar County, Nebraska",8498,30163,30163,3.55,Cedar County,Nebraska
"Chase County, Nebraska",3783,30080,30080,7.95,Chase County,Nebraska
"Cherry County, Nebraska",5779,29415,29415,5.09,Cherry County,Nebraska
"Cheyenne County, Nebraska",9604,31294,31294,3.26,Cheyenne County,Nebraska
"Clay County, Nebraska",6203,27539,27539,4.44,Clay County,Nebraska
"Colfax County, Nebraska",10714,23603,23603,2.2,Colfax County,Nebraska
"Cuming County, Nebraska",8952,29765,29765,3.32,Cuming County,Nebraska
"Custer County, Nebraska",10826,33561,33561,3.1,Custer County,Nebraska
"Dakota County, Nebraska",20173,25269,25269,1.25,Dakota County,Nebraska
"Dawes County, Nebraska",8810,25383,25383,2.88,Dawes County,Nebraska
"Dawson County, Nebraska",23733,25956,25956,1.09,Dawson County,Nebraska
"Deuel County, Nebraska",1831,26351,26351,14.39,Deuel County,Nebraska
"Dixon County, Nebraska",5719,27634,27634,4.83,Dixon County,Nebraska
"Dodge County, Nebraska",36665,28019,28019,0.76,Dodge County,Nebraska
"Douglas County, Nebraska",560617,35307,35307,0.06,Douglas County,Nebraska
"Dundy County, Nebraska",1913,25479,25479,13.32,Dundy County,Nebraska
"Fillmore County, Nebraska",5547,34483,34483,6.22,Fillmore County,Nebraska
"Franklin County, Nebraska",2987,28365,28365,9.5,Franklin County,Nebraska
"Frontier County, Nebraska",2640,28899,28899,10.95,Frontier County,Nebraska
"Furnas County, Nebraska",4747,27021,27021,5.69,Furnas County,Nebraska
"Gage County, Nebraska",21594,29565,29565,1.37,Gage County,Nebraska
"Garden County, Nebraska",1864,35050,35050,18.8,Garden County,Nebraska
"Garfield County, Nebraska",2001,29146,29146,14.57,Garfield County,Nebraska
"Gosper County, Nebraska",2013,37565,37565,18.66,Gosper County,Nebraska
"Grant County, Nebraska",722,23264,23264,32.22,Grant County,Nebraska
"Greeley County, Nebraska",2382,26553,26553,11.15,Greeley County,Nebraska
"Hall County, Nebraska",61265,28359,28359,0.46,Hall County,Nebraska
"Hamilton County, Nebraska",9215,32131,32131,3.49,Hamilton County,Nebraska
"Harlan County, Nebraska",3415,28919,28919,8.47,Harlan County,Nebraska
"Hayes County, Nebraska",893,31286,31286,35.03,Hayes County,Nebraska
"Hitchcock County, Nebraska",2815,30037,30037,10.67,Hitchcock County,Nebraska
"Holt County, Nebraska",10177,31785,31785,3.12,Holt County,Nebraska
"Hooker County, Nebraska",693,27714,27714,39.99,Hooker County,Nebraska
"Howard County, Nebraska",6417,27489,27489,4.28,Howard County,Nebraska
"Jefferson County, Nebraska",7144,27461,27461,3.84,Jefferson County,Nebraska
"Johnson County, Nebraska",5161,24072,24072,4.66,Johnson County,Nebraska
"Kearney County, Nebraska",6529,31094,31094,4.76,Kearney County,Nebraska
"Keith County, Nebraska",8068,29823,29823,3.7,Keith County,Nebraska
"Keya Paha County, Nebraska",760,28853,28853,37.96,Keya Paha County,Nebraska
"Kimball County, Nebraska",3633,27478,27478,7.56,Kimball County,Nebraska
"Knox County, Nebraska",8426,28409,28409,3.37,Knox County,Nebraska
"Lancaster County, Nebraska",313158,32378,32378,0.1,Lancaster County,Nebraska
"Lincoln County, Nebraska",35263,31567,31567,0.9,Lincoln County,Nebraska
"Logan County, Nebraska",927,24355,24355,26.27,Logan County,Nebraska
"Loup County, Nebraska",605,27726,27726,45.83,Loup County,Nebraska
"McPherson County, Nebraska",395,30063,30063,76.11,McPherson County,Nebraska
"Madison County, Nebraska",35080,28179,28179,0.8,Madison County,Nebraska
"Merrick County, Nebraska",7798,28795,28795,3.69,Merrick County,Nebraska
"Morrill County, Nebraska",4781,26951,26951,5.64,Morrill County,Nebraska
"Nance County, Nebraska",3544,29454,29454,8.31,Nance County,Nebraska
"Nemaha County, Nebraska",6973,29574,29574,4.24,Nemaha County,Nebraska
"Nuckolls County, Nebraska",4244,30078,30078,7.09,Nuckolls County,Nebraska
"Otoe County, Nebraska",15949,31450,31450,1.97,Otoe County,Nebraska
"Pawnee County, Nebraska",2649,27162,27162,10.25,Pawnee County,Nebraska
"Perkins County, Nebraska",2901,35765,35765,12.33,Perkins County,Nebraska
"Phelps County, Nebraska",9100,32864,32864,3.61,Phelps County,Nebraska
"Pierce County, Nebraska",7144,32040,32040,4.48,Pierce County,Nebraska
"Platte County, Nebraska",33174,30331,30331,0.91,Platte County,Nebraska
"Polk County, Nebraska",5225,30234,30234,5.79,Polk County,Nebraska
"Red Willow County, Nebraska",10768,27392,27392,2.54,Red Willow County,Nebraska
"Richardson County, Nebraska",7961,28309,28309,3.56,Richardson County,Nebraska
"Rock County, Nebraska",1414,36140,36140,25.56,Rock County,Nebraska
"Saline County, Nebraska",14270,24627,24627,1.73,Saline County,Nebraska
"Sarpy County, Nebraska",181232,36058,36058,0.2,Sarpy County,Nebraska
"Saunders County, Nebraska",21165,33851,33851,1.6,Saunders County,Nebraska
"Scotts Bluff County, Nebraska",36074,27978,27978,0.78,Scotts Bluff County,Nebraska
"Seward County, Nebraska",17171,32040,32040,1.87,Seward County,Nebraska
"Sheridan County, Nebraska",5231,29477,29477,5.64,Sheridan County,Nebraska
"Sherman County, Nebraska",3033,28448,28448,9.38,Sherman County,Nebraska
"Sioux County, Nebraska",1219,28646,28646,23.5,Sioux County,Nebraska
"Stanton County, Nebraska",5957,29117,29117,4.89,Stanton County,Nebraska
"Thayer County, Nebraska",5057,29632,29632,5.86,Thayer County,Nebraska
"Thomas County, Nebraska",645,36572,36572,56.7,Thomas County,Nebraska
"Thurston County, Nebraska",7181,20141,20141,2.8,Thurston County,Nebraska
"Valley County, Nebraska",4206,29378,29378,6.98,Valley County,Nebraska
"Washington County, Nebraska",20361,35145,35145,1.73,Washington County,Nebraska
"Wayne County, Nebraska",9332,27671,27671,2.97,Wayne County,Nebraska
"Webster County, Nebraska",3537,29969,29969,8.47,Webster County,Nebraska
"Wheeler County, Nebraska",783,29037,29037,37.08,Wheeler County,Nebraska
"York County, Nebraska",13745,32975,32975,2.4,York County,Nebraska
"Churchill County, Nevada",24259,28462,28462,1.17,Churchill County,Nevada
"Clark County, Nevada",2182004,30704,30704,0.01,Clark County,Nevada
"Douglas County, Nevada",48132,38814,38814,0.81,Douglas County,Nevada
"Elko County, Nevada",52297,33875,33875,0.65,Elko County,Nevada
"Esmeralda County, Nevada",969,25849,25849,26.68,Esmeralda County,Nevada
"Eureka County, Nevada",1859,34249,34249,18.42,Eureka County,Nevada
"Humboldt County, Nevada",16828,33362,33362,1.98,Humboldt County,Nevada
"Lander County, Nevada",5643,34000,34000,6.03,Lander County,Nevada
"Lincoln County, Nevada",5180,26432,26432,5.1,Lincoln County,Nevada
"Lyon County, Nevada",54380,27855,27855,0.51,Lyon County,Nevada
"Mineral County, Nevada",4460,22921,22921,5.14,Mineral County,Nevada
"Nye County, Nevada",44380,25558,25558,0.58,Nye County,Nevada
"Pershing County, Nevada",6615,19891,19891,3.01,Pershing County,Nevada
"Storey County, Nevada",3988,37941,37941,9.51,Storey County,Nevada
"Washoe County, Nevada",456936,36071,36071,0.08,Washoe County,Nevada
"White Pine County, Nevada",9679,25675,25675,2.65,White Pine County,Nevada
"Carson City, Nevada",54773,31549,31549,0.58,Carson City,Nevada
"Belknap County, New Hampshire",60887,37430,37430,0.61,Belknap County,New Hampshire
"Carroll County, New Hampshire",48138,37490,37490,0.78,Carroll County,New Hampshire
"Cheshire County, New Hampshire",76042,33946,33946,0.45,Cheshire County,New Hampshire
"Coos County, New Hampshire",31741,27393,27393,0.86,Coos County,New Hampshire
"Grafton County, New Hampshire",89777,37750,37750,0.42,Grafton County,New Hampshire
"Hillsborough County, New Hampshire",413035,40955,40955,0.1,Hillsborough County,New Hampshire
"Merrimack County, New Hampshire",149917,37367,37367,0.25,Merrimack County,New Hampshire
"Rockingham County, New Hampshire",306359,47222,47222,0.15,Rockingham County,New Hampshire
"Strafford County, New Hampshire",129124,35601,35601,0.28,Strafford County,New Hampshire
"Sullivan County, New Hampshire",43104,33042,33042,0.77,Sullivan County,New Hampshire
"Atlantic County, New Jersey",266105,33284,33284,0.13,Atlantic County,New Jersey
"Bergen County, New Jersey",930390,51214,51214,0.06,Bergen County,New Jersey
"Burlington County, New Jersey",445702,43187,43187,0.1,Burlington County,New Jersey
"Camden County, New Jersey",506738,35958,35958,0.07,Camden County,New Jersey
"Cape May County, New Jersey",93086,40389,40389,0.43,Cape May County,New Jersey
"Cumberland County, New Jersey",151906,25694,25694,0.17,Cumberland County,New Jersey
"Essex County, New Jersey",795404,38722,38722,0.05,Essex County,New Jersey
"Gloucester County, New Jersey",291165,39337,39337,0.14,Gloucester County,New Jersey
"Hudson County, New Jersey",670046,40740,40740,0.06,Hudson County,New Jersey
"Hunterdon County, New Jersey",124823,57098,57098,0.46,Hunterdon County,New Jersey
"Mercer County, New Jersey",367922,43086,43086,0.12,Mercer County,New Jersey
"Middlesex County, New Jersey",825920,39599,39599,0.05,Middlesex County,New Jersey
"Monmouth County, New Jersey",621659,51700,51700,0.08,Monmouth County,New Jersey
"Morris County, New Jersey",493379,58109,58109,0.12,Morris County,New Jersey
"Ocean County, New Jersey",596415,36100,36100,0.06,Ocean County,New Jersey
"Passaic County, New Jersey",503637,32064,32064,0.06,Passaic County,New Jersey
"Salem County, New Jersey",62990,34047,34047,0.54,Salem County,New Jersey
"Somerset County, New Jersey",329838,55828,55828,0.17,Somerset County,New Jersey
"Sussex County, New Jersey",141483,44728,44728,0.32,Sussex County,New Jersey
"Union County, New Jersey",554033,41603,41603,0.08,Union County,New Jersey
"Warren County, New Jersey",105862,39802,39802,0.38,Warren County,New Jersey
"Bernalillo County, New Mexico",677858,30734,30734,0.05,Bernalillo County,New Mexico
"Catron County, New Mexico",3526,21989,21989,6.24,Catron County,New Mexico
"Chaves County, New Mexico",65144,22041,22041,0.34,Chaves County,New Mexico
"Cibola County, New Mexico",26891,20018,20018,0.74,Cibola County,New Mexico
"Colfax County, New Mexico",12168,24035,24035,1.98,Colfax County,New Mexico
"Curry County, New Mexico",49732,23021,23021,0.46,Curry County,New Mexico
"De Baca County, New Mexico",2040,17376,17376,8.52,De Baca County,New Mexico
"Doña Ana County, New Mexico",216069,22154,22154,0.1,Doña Ana County,New Mexico
"Eddy County, New Mexico",57732,30246,30246,0.52,Eddy County,New Mexico
"Grant County, New Mexico",27669,25590,25590,0.92,Grant County,New Mexico
"Guadalupe County, New Mexico",4353,17420,17420,4.0,Guadalupe County,New Mexico
"Harding County, New Mexico",441,34721,34721,78.73,Harding County,New Mexico
"Hidalgo County, New Mexico",4297,22009,22009,5.12,Hidalgo County,New Mexico
"Lea County, New Mexico",70277,25585,25585,0.36,Lea County,New Mexico
"Lincoln County, New Mexico",19461,27454,27454,1.41,Lincoln County,New Mexico
"Los Alamos County, New Mexico",18625,60746,60746,3.26,Los Alamos County,New Mexico
"Luna County, New Mexico",24083,17168,17168,0.71,Luna County,New Mexico
"McKinley County, New Mexico",72438,15931,15931,0.22,McKinley County,New Mexico
"Mora County, New Mexico",4536,19864,19864,4.38,Mora County,New Mexico
"Otero County, New Mexico",66137,23170,23170,0.35,Otero County,New Mexico
"Quay County, New Mexico",8326,19784,19784,2.38,Quay County,New Mexico
"Rio Arriba County, New Mexico",39159,22911,22911,0.59,Rio Arriba County,New Mexico
"Roosevelt County, New Mexico",18888,20123,20123,1.07,Roosevelt County,New Mexico
"Sandoval County, New Mexico",142704,29255,29255,0.21,Sandoval County,New Mexico
"San Juan County, New Mexico",126515,23235,23235,0.18,San Juan County,New Mexico
"San Miguel County, New Mexico",27738,20762,20762,0.75,San Miguel County,New Mexico
"Santa Fe County, New Mexico",149293,38520,38520,0.26,Santa Fe County,New Mexico
"Sierra County, New Mexico",11031,25344,25344,2.3,Sierra County,New Mexico
"Socorro County, New Mexico",16858,18948,18948,1.12,Socorro County,New Mexico
"Taos County, New Mexico",32786,25646,25646,0.78,Taos County,New Mexico
"Torrance County, New Mexico",15519,20876,20876,1.35,Torrance County,New Mexico
"Union County, New Mexico",4133,22116,22116,5.35,Union County,New Mexico
"Valencia County, New Mexico",76027,23675,23675,0.31,Valencia County,New Mexico
"Albany County, New York",306968,37635,37635,0.12,Albany County,New York
"Allegany County, New York",46688,24857,24857,0.53,Allegany County,New York
"Bronx County, New York",1435068,21778,21778,0.02,Bronx County,New York
"Broome County, New York",193188,28699,28699,0.15,Broome County,New York
"Cattaraugus County, New York",77121,25822,25822,0.33,Cattaraugus County,New York
"Cayuga County, New York",77425,30509,30509,0.39,Cayuga County,New York
"Chautauqua County, New York",128496,26165,26165,0.2,Chautauqua County,New York
"Chemung County, New York",84895,28778,28778,0.34,Chemung County,New York
"Chenango County, New York",47909,27708,27708,0.58,Chenango County,New York
"Clinton County, New York",80583,27761,27761,0.34,Clinton County,New York
"Columbia County, New York",60371,38268,38268,0.63,Columbia County,New York
"Cortland County, New York",47865,28229,28229,0.59,Cortland County,New York
"Delaware County, New York",44995,27701,27701,0.62,Delaware County,New York
"Dutchess County, New York",293754,40093,40093,0.14,Dutchess County,New York
"Erie County, New York",919355,33598,33598,0.04,Erie County,New York
"Essex County, New York",37459,31667,31667,0.85,Essex County,New York
"Franklin County, New York",50477,25406,25406,0.5,Franklin County,New York
"Fulton County, New York",53646,27443,27443,0.51,Fulton County,New York
"Genesee County, New York",57808,30511,30511,0.53,Genesee County,New York
"Greene County, New York",47424,28433,28433,0.6,Greene County,New York
"Hamilton County, New York",4515,24851,24851,5.5,Hamilton County,New York
"Herkimer County, New York",62057,27850,27850,0.45,Herkimer County,New York
"Jefferson County, New York",112842,26194,26194,0.23,Jefferson County,New York
"Kings County, New York",2589974,34173,34173,0.01,Kings County,New York
"Lewis County, New York",26572,26708,26708,1.01,Lewis County,New York
"Livingston County, New York",63591,28701,28701,0.45,Livingston County,New York
"Madison County, New York",71205,30469,30469,0.43,Madison County,New York
"Monroe County, New York",743341,33840,33840,0.05,Monroe County,New York
"Montgomery County, New York",49302,26521,26521,0.54,Montgomery County,New York
"Nassau County, New York",1356509,51422,51422,0.04,Nassau County,New York
"New York County, New York",1631993,76592,76592,0.05,New York County,New York
"Niagara County, New York",210820,30971,30971,0.15,Niagara County,New York
"Oneida County, New York",229959,29687,29687,0.13,Oneida County,New York
"Onondaga County, New York",462872,34002,34002,0.07,Onondaga County,New York
"Ontario County, New York",109511,36835,36835,0.34,Ontario County,New York
"Orange County, New York",380085,34959,34959,0.09,Orange County,New York
"Orleans County, New York",40904,26298,26298,0.64,Orleans County,New York
"Oswego County, New York",118339,28587,28587,0.24,Oswego County,New York
"Otsego County, New York",59972,28849,28849,0.48,Otsego County,New York
"Putnam County, New York",98787,47448,47448,0.48,Putnam County,New York
"Queens County, New York",2287388,31930,31930,0.01,Queens County,New York
"Rensselaer County, New York",159185,35903,35903,0.23,Rensselaer County,New York
"Richmond County, New York",474893,36907,36907,0.08,Richmond County,New York
"Rockland County, New York",324422,39286,39286,0.12,Rockland County,New York
"St. Lawrence County, New York",108913,25378,25378,0.23,St. Lawrence County,New York
"Saratoga County, New York",228502,43065,43065,0.19,Saratoga County,New York
"Schenectady County, New York",154859,32417,32417,0.21,Schenectady County,New York
"Schoharie County, New York",31222,30397,30397,0.97,Schoharie County,New York
"Schuyler County, New York",17920,27678,27678,1.54,Schuyler County,New York
"Seneca County, New York",34390,28245,28245,0.82,Seneca County,New York
"Steuben County, New York",96422,29886,29886,0.31,Steuben County,New York
"Suffolk County, New York",1483832,44465,44465,0.03,Suffolk County,New York
"Sullivan County, New York",75116,30446,30446,0.41,Sullivan County,New York
"Tioga County, New York",48686,31822,31822,0.65,Tioga County,New York
"Tompkins County, New York",102642,33075,33075,0.32,Tompkins County,New York
"Ulster County, New York",178665,34834,34834,0.19,Ulster County,New York
"Warren County, New York",64276,35271,35271,0.55,Warren County,New York
"Washington County, New York",61616,28530,28530,0.46,Washington County,New York
"Wayne County, New York",90519,31043,31043,0.34,Wayne County,New York
"Westchester County, New York",968890,57049,57049,0.06,Westchester County,New York
"Wyoming County, New York",40305,27947,27947,0.69,Wyoming County,New York
"Yates County, New York",25011,28270,28270,1.13,Yates County,New York
"Alamance County, North Carolina",163324,27312,27312,0.17,Alamance County,North Carolina
"Alexander County, North Carolina",37213,26688,26688,0.72,Alexander County,North Carolina
"Alleghany County, North Carolina",11008,23267,23267,2.11,Alleghany County,North Carolina
"Anson County, North Carolina",24902,21635,21635,0.87,Anson County,North Carolina
"Ashe County, North Carolina",26863,24814,24814,0.92,Ashe County,North Carolina
"Avery County, North Carolina",17506,21167,21167,1.21,Avery County,North Carolina
"Beaufort County, North Carolina",47168,27504,27504,0.58,Beaufort County,North Carolina
"Bertie County, North Carolina",19380,22947,22947,1.18,Bertie County,North Carolina
"Bladen County, North Carolina",33407,23440,23440,0.7,Bladen County,North Carolina
"Brunswick County, North Carolina",131815,33312,33312,0.25,Brunswick County,North Carolina
"Buncombe County, North Carolina",256886,32426,32426,0.13,Buncombe County,North Carolina
"Burke County, North Carolina",89968,24481,24481,0.27,Burke County,North Carolina
"Cabarrus County, North Carolina",206615,32255,32255,0.16,Cabarrus County,North Carolina
"Caldwell County, North Carolina",81884,23869,23869,0.29,Caldwell County,North Carolina
"Camden County, North Carolina",10551,28221,28221,2.67,Camden County,North Carolina
"Carteret County, North Carolina",69070,33722,33722,0.49,Carteret County,North Carolina
"Caswell County, North Carolina",22684,23901,23901,1.05,Caswell County,North Carolina
"Catawba County, North Carolina",157613,28224,28224,0.18,Catawba County,North Carolina
"Chatham County, North Carolina",71338,40967,40967,0.57,Chatham County,North Carolina
"Cherokee County, North Carolina",27969,23902,23902,0.85,Cherokee County,North Carolina
"Chowan County, North Carolina",14097,26256,26256,1.86,Chowan County,North Carolina
"Clay County, North Carolina",10946,28467,28467,2.6,Clay County,North Carolina
"Cleveland County, North Carolina",97282,22589,22589,0.23,Cleveland County,North Carolina
"Columbus County, North Carolina",56068,22608,22608,0.4,Columbus County,North Carolina
"Craven County, North Carolina",102491,29521,29521,0.29,Craven County,North Carolina
"Cumberland County, North Carolina",332861,24936,24936,0.07,Cumberland County,North Carolina
"Currituck County, North Carolina",26363,31849,31849,1.21,Currituck County,North Carolina
"Dare County, North Carolina",36222,34578,34578,0.95,Dare County,North Carolina
"Davidson County, North Carolina",165381,25988,25988,0.16,Davidson County,North Carolina
"Davie County, North Carolina",42257,31173,31173,0.74,Davie County,North Carolina
"Duplin County, North Carolina",58967,20254,20254,0.34,Duplin County,North Carolina
"Durham County, North Carolina",311848,35398,35398,0.11,Durham County,North Carolina
"Edgecombe County, North Carolina",52648,20626,20626,0.39,Edgecombe County,North Carolina
"Forsyth County, North Carolina",375195,30769,30769,0.08,Forsyth County,North Carolina
"Franklin County, North Carolina",66362,27294,27294,0.41,Franklin County,North Carolina
"Gaston County, North Carolina",219271,27352,27352,0.12,Gaston County,North Carolina
"Gates County, North Carolina",11548,25846,25846,2.24,Gates County,North Carolina
"Graham County, North Carolina",8509,20323,20323,2.39,Graham County,North Carolina
"Granville County, North Carolina",59328,27131,27131,0.46,Granville County,North Carolina
"Greene County, North Carolina",21033,19168,19168,0.91,Greene County,North Carolina
"Guilford County, North Carolina",527868,30767,30767,0.06,Guilford County,North Carolina
"Halifax County, North Carolina",51190,21848,21848,0.43,Halifax County,North Carolina
"Harnett County, North Carolina",132283,23767,23767,0.18,Harnett County,North Carolina
"Haywood County, North Carolina",61053,30490,30490,0.5,Haywood County,North Carolina
"Henderson County, North Carolina",114913,31564,31564,0.27,Henderson County,North Carolina
"Hertford County, North Carolina",24012,20119,20119,0.84,Hertford County,North Carolina
"Hoke County, North Carolina",53957,20991,20991,0.39,Hoke County,North Carolina
"Hyde County, North Carolina",5213,18245,18245,3.5,Hyde County,North Carolina
"Iredell County, North Carolina",175538,33194,33194,0.19,Iredell County,North Carolina
"Jackson County, North Carolina",42938,25347,25347,0.59,Jackson County,North Carolina
"Johnston County, North Carolina",196870,27924,27924,0.14,Johnston County,North Carolina
"Jones County, North Carolina",9594,21928,21928,2.29,Jones County,North Carolina
"Lee County, North Carolina",60481,24842,24842,0.41,Lee County,North Carolina
"Lenoir County, North Carolina",56756,23865,23865,0.42,Lenoir County,North Carolina
"Lincoln County, North Carolina",82919,31771,31771,0.38,Lincoln County,North Carolina
"McDowell County, North Carolina",45227,24281,24281,0.54,McDowell County,North Carolina
"Macon County, North Carolina",34813,28936,28936,0.83,Macon County,North Carolina
"Madison County, North Carolina",21499,25956,25956,1.21,Madison County,North Carolina
"Martin County, North Carolina",22849,23575,23575,1.03,Martin County,North Carolina
"Mecklenburg County, North Carolina",1074475,38819,38819,0.04,Mecklenburg County,North Carolina
"Mitchell County, North Carolina",15004,25009,25009,1.67,Mitchell County,North Carolina
"Montgomery County, North Carolina",27252,24636,24636,0.9,Montgomery County,North Carolina
"Moore County, North Carolina",97294,34606,34606,0.36,Moore County,North Carolina
"Nash County, North Carolina",94030,27406,27406,0.29,Nash County,North Carolina
"New Hanover County, North Carolina",227938,34288,34288,0.15,New Hanover County,North Carolina
"Northampton County, North Carolina",19946,22002,22002,1.1,Northampton County,North Carolina
"Onslow County, North Carolina",195069,24413,24413,0.13,Onslow County,North Carolina
"Orange County, North Carolina",144836,42231,42231,0.29,Orange County,North Carolina
"Pamlico County, North Carolina",12701,29092,29092,2.29,Pamlico County,North Carolina
"Pasquotank County, North Carolina",39514,24664,24664,0.62,Pasquotank County,North Carolina
"Pender County, North Carolina",60399,29266,29266,0.48,Pender County,North Carolina
"Perquimans County, North Carolina",13430,27569,27569,2.05,Perquimans County,North Carolina
"Person County, North Carolina",39345,27329,27329,0.69,Person County,North Carolina
"Pitt County, North Carolina",178433,27155,27155,0.15,Pitt County,North Carolina
"Polk County, North Carolina",20557,30756,30756,1.5,Polk County,North Carolina
"Randolph County, North Carolina",143118,24397,24397,0.17,Randolph County,North Carolina
"Richmond County, North Carolina",44997,21228,21228,0.47,Richmond County,North Carolina
"Robeson County, North Carolina",132596,18709,18709,0.14,Robeson County,North Carolina
"Rockingham County, North Carolina",91077,24209,24209,0.27,Rockingham County,North Carolina
"Rowan County, North Carolina",140296,25630,25630,0.18,Rowan County,North Carolina
"Rutherford County, North Carolina",66599,23978,23978,0.36,Rutherford County,North Carolina
"Sampson County, North Carolina",63385,22875,22875,0.36,Sampson County,North Carolina
"Scotland County, North Carolina",35076,19052,19052,0.54,Scotland County,North Carolina
"Stanly County, North Carolina",61588,25863,25863,0.42,Stanly County,North Carolina
"Stokes County, North Carolina",45781,26279,26279,0.57,Stokes County,North Carolina
"Surry County, North Carolina",71971,25500,25500,0.35,Surry County,North Carolina
"Swain County, North Carolina",14260,23139,23139,1.62,Swain County,North Carolina
"Transylvania County, North Carolina",33775,29549,29549,0.87,Transylvania County,North Carolina
"Tyrrell County, North Carolina",4095,19743,19743,4.82,Tyrrell County,North Carolina
"Union County, North Carolina",231053,36362,36362,0.16,Union County,North Carolina
"Vance County, North Carolina",44479,23049,23049,0.52,Vance County,North Carolina
"Wake County, North Carolina",1069079,40982,40982,0.04,Wake County,North Carolina
"Warren County, North Carolina",19898,23432,23432,1.18,Warren County,North Carolina
"Washington County, North Carolina",11922,23431,23431,1.97,Washington County,North Carolina
"Watauga County, North Carolina",54925,26882,26882,0.49,Watauga County,North Carolina
"Wayne County, North Carolina",123603,25277,25277,0.2,Wayne County,North Carolina
"Wilkes County, North Carolina",68469,25202,25202,0.37,Wilkes County,North Carolina
"Wilson County, North Carolina",81435,24790,24790,0.3,Wilson County,North Carolina
"Yadkin County, North Carolina",37602,25218,25218,0.67,Yadkin County,North Carolina
"Yancey County, North Carolina",17760,24487,24487,1.38,Yancey County,North Carolina
"Adams County, North Dakota",2311,33458,33458,14.48,Adams County,North Dakota
"Barnes County, North Dakota",10706,35491,35491,3.32,Barnes County,North Dakota
"Benson County, North Dakota",6873,21707,21707,3.16,Benson County,North Dakota
"Billings County, North Dakota",922,42071,42071,45.63,Billings County,North Dakota
"Bottineau County, North Dakota",6502,35655,35655,5.48,Bottineau County,North Dakota
"Bowman County, North Dakota",3148,34880,34880,11.08,Bowman County,North Dakota
"Burke County, North Dakota",2182,39350,39350,18.03,Burke County,North Dakota
"Burleigh County, North Dakota",94793,38804,38804,0.41,Burleigh County,North Dakota
"Cass County, North Dakota",176975,37620,37620,0.21,Cass County,North Dakota
"Cavalier County, North Dakota",3803,43457,43457,11.43,Cavalier County,North Dakota
"Dickey County, North Dakota",4938,33539,33539,6.79,Dickey County,North Dakota
"Divide County, North Dakota",2335,40184,40184,17.21,Divide County,North Dakota
"Dunn County, North Dakota",4395,42691,42691,9.71,Dunn County,North Dakota
"Eddy County, North Dakota",2301,35639,35639,15.49,Eddy County,North Dakota
"Emmons County, North Dakota",3310,33088,33088,10.0,Emmons County,North Dakota
"Foster County, North Dakota",3260,35299,35299,10.83,Foster County,North Dakota
"Golden Valley County, North Dakota",1845,33111,33111,17.95,Golden Valley County,North Dakota
"Grand Forks County, North Dakota",70224,32153,32153,0.46,Grand Forks County,North Dakota
"Grant County, North Dakota",2353,34786,34786,14.78,Grant County,North Dakota
"Griggs County, North Dakota",2409,34882,34882,14.48,Griggs County,North Dakota
"Hettinger County, North Dakota",2547,34181,34181,13.42,Hettinger County,North Dakota
"Kidder County, North Dakota",2466,31000,31000,12.57,Kidder County,North Dakota
"LaMoure County, North Dakota",4125,37220,37220,9.02,LaMoure County,North Dakota
"Logan County, North Dakota",1872,32619,32619,17.42,Logan County,North Dakota
"McHenry County, North Dakota",5878,36980,36980,6.29,McHenry County,North Dakota
"McIntosh County, North Dakota",2597,32131,32131,12.37,McIntosh County,North Dakota
"McKenzie County, North Dakota",13334,36690,36690,2.75,McKenzie County,North Dakota
"McLean County, North Dakota",9584,36428,36428,3.8,McLean County,North Dakota
